src_ip,dst_ip,packet_length,src_port,dst_port
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
10.25.16.76,224.0.0.251,82,5353,5353
10.25.31.97,239.255.255.250,179,54477,1900
10.25.20.192,224.0.0.251,186,5353,5353
10.25.16.76,224.0.0.251,82,5353,5353
10.25.20.154,224.0.0.251,102,50243,5353
10.25.20.154,224.0.0.251,102,50243,5353
10.25.20.154,224.0.0.251,102,50243,5353
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,66,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,74,53732,443
10.25.13.48,52.104.0.27,74,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,74,53732,443
10.25.13.48,52.104.0.27,74,53732,443
10.25.13.48,52.104.0.27,74,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,66,53732,443
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
10.25.16.76,224.0.0.251,82,5353,5353
10.25.16.76,224.0.0.251,82,5353,5353
10.25.14.7,224.0.0.251,166,5353,5353
10.25.16.76,224.0.0.251,82,5353,5353
10.25.16.76,224.0.0.251,82,5353,5353
10.25.16.76,224.0.0.251,82,5353,5353
10.25.16.76,224.0.0.251,82,5353,5353
10.25.16.76,224.0.0.251,82,5353,5353
10.25.16.76,224.0.0.251,82,5353,5353
10.25.19.200,239.255.255.250,212,56319,1900
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
10.25.16.76,224.0.0.251,82,5353,5353
10.25.16.76,224.0.0.251,82,5353,5353
10.25.16.76,224.0.0.251,82,5353,5353
10.25.16.76,224.0.0.251,82,5353,5353
10.25.16.76,224.0.0.251,82,5353,5353
10.25.14.7,224.0.0.251,158,5353,5353
10.25.16.44,224.77.77.77,155,62926,12177
10.25.16.76,224.0.0.251,82,5353,5353
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,54,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,66,53732,443
10.25.16.76,224.0.0.251,82,5353,5353
10.25.26.26,224.0.0.251,158,5353,5353
10.25.27.51,224.77.77.77,155,63086,12177
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,66,53732,443
10.25.13.48,52.104.0.27,66,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
10.25.13.48,52.104.0.27,66,53732,443
10.25.13.48,52.104.0.27,66,53732,443
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
52.104.0.27,10.25.13.48,1514,443,53732
